aax	[1,1,[Molnupiravir,"",1]]
abaciscus	[1,3,[Tesserae,m,3]]
absolutely	[12,13,[All_In_(professional_wrestling_event),"",1],[Carnival_Cruise_Line,"",1],[First_Vienna_Award,m,1],[Justin_Bieber,"",1],[Pushtimarg,"",1],[R._Stevie_Moore,"",1],[Rachel%27s_Tomb,"",1],[Refusal_of_work,"",2],[Saturday_Night_(2010_film)?wprov=sfti1,"",1],[Seven_Summits,"",1],[She%27s_So_Unusual,m,1],[Write_amplification,"",1]]
accolades	[13,17,[AS_Nancy,m,1],[Bryna_Productions,m,2],["Chattanooga,_Tennessee",m,1],[Gundala_(film),"",1],[Justin_Bieber,"",2],[Knowing_(film),m,1],[Na'vi_language,"",1],[Negro_Swan,"",2],[Oscar_Pistorius,m,1],[Rachel_Weisz,m,1],[She%27s_So_Unusual,m,2],[Shirley_MacLaine,m,1],[South_Park,"",1]]
accounted	[16,18,[Africa,"",1],[Bight_of_Bonny,"",2],[Cereal_grain,"",1],[Fate/Grand_Order,"",1],[Foot_whipping,"",1],[Global_climate_change,"",1],[History_of_Champagne,"",1],[Hudson's_Bay_Company,"",1],[Iron_Guard,m,1],[Justin_Bieber,"",1],["Manhattan,_New_York","",1],[Maryland_and_Pennsylvania_Railroad,m,1],[National_Energy_Research_Scientific_Computing_Center,"",1],[Odessa,m,2],[Russia_in_the_European_energy_sector,"",1],[Suicide_in_the_United_States,m,1]]
achieving	[21,31,[Bj%C3%B6rn_Wirdheim,m,1],[Brawn_GP,m,1],[Brown_v._Plata,"",1],[Chatmonchy,"",1],[Georgism,"",1],[Global_climate_change,"",9],["Hand,_foot_and_mouth_disease","",1],[International_Women's_Day,"",2],[Leymah_Gbowee,"",1],[Macedonia_naming_dispute,"",1],[Optimism_bias,"",1],[Polar_Satellite_Launch_Vehicle,m,1],[Radiative_forcing,"",1],[Royal_Thai_Air_Force,m,1],[Scrum_(development),"",2],[Sikh%C4%AB_Buddha,"",1],[Social_economy,"",1],[Systems_thinking,m,1],[The_Mickey_Mouse_Club,"",1],[Toothbrush_moustache,"",1],[Wicked_problem,"",1]]
achpr	[1,5,[Right_to_fair_trial,"",5]]
ackwood	[1,1,[Negro_Swan,"",1]]
acrobats	[1,1,["Gabrielle_(Xena:_Warrior_Princess)","",1]]
adedayo	[1,1,[Urine_therapy,"",1]]
adelman	[1,3,[Arendt,"",3]]
adiprasito	[1,1,[EMS_Prize,m,1]]
aechmagoras	[1,1,[Herakles,m,1]]
afr	[3,3,[Africa,"",1],[Okapi,"",1],[Urine_therapy,"",1]]
africanist	[1,1,[Foreign_Agents_Registration_Act,"",1]]
aheloy	[1,1,[Pazardzhik,"",1]]
ain't	[12,20,[Genndy_Tartakovsky,m,1],[Girl_(Beatles_song),"",2],[Jazz_standard,m,2],[Lucy_in_the_Sky_with_Diamonds,"",1],[Na'vi_language,"",1],[Prince_(musician),"",1],[Retrograde_motion,"",1],[Sly_Stone,"",5],[South_Park,"",2],[The_Lonely_Londoners,"",1],[The_Sandman_(Vertigo),"",2],[Toothbrush_moustache,"",1]]
